date,tmax_c,tmin_c
1973-10-01,34.85,17.26
1976-12-01,23.62,10.68
1977-02-01,24.87,8.77
1977-04-01,32.04,18.61
1977-05-01,39.5,24.52
1977-06-01,42.35,26.67
1977-07-01,43.09,26.5
1977-08-01,43.08,26.96
1977-10-01,35.19,19.85
1977-11-01,26.92,12.13
1977-12-01,23.36,12.29
1978-01-01,22.35,8.46
1978-02-01,23.69,10.16
1978-03-01,28.62,13.95
1978-04-01,33.56,20.91
1978-05-01,39.48,23.76
1978-06-01,40.97,25.43
1978-07-01,42.53,28.91
1978-08-01,41.54,26.45
1978-09-01,39.76,23.82
1978-10-01,34.79,17.89
1978-11-01,25.12,13.54
1978-12-01,24.92,11.05
1979-01-01,21.8,10.49
1979-02-01,26.78,11.97
1979-03-01,28.27,14.69
1979-04-01,35.56,19.84
1979-05-01,38.6,24.57
1979-06-01,43.24,28.49
1979-07-01,42.5,27.68
1979-08-01,42.35,27.2
1979-09-01,41.08,25.49
1979-10-01,35.51,21.79
1979-11-01,29.6,15.09
1979-12-01,20.56,9.49
1980-01-01,19.72,9.08
1980-02-01,22.88,11.63
1980-03-01,29.86,16.17
1980-04-01,34.56,21.38
1980-05-01,38.97,24.96
1980-06-01,42.25,26.62
1980-07-01,43.48,28.8
1980-08-01,42.43,27.15
1980-09-01,39.62,24.69
1980-10-01,35.42,20.21
1980-11-01,29.32,16.42
1980-12-01,22.32,9.04
1981-02-01,23.33,10.75
1981-03-01,28.17,15.09
1981-04-01,34.81,19.18
1981-05-01,39.04,24.54
1981-06-01,42.14,26.74
1981-07-01,43.79,28.67
1981-08-01,42.59,27.85
1981-09-01,39.7,24.61
1981-10-01,34.65,20.29
1981-11-01,28.07,14.81
1981-12-01,25.28,11.27
1982-09-01,41.83,27.03
1982-12-01,18.15,7.68
1983-03-01,23.59,11.82
1983-04-01,31.7,18.62
1983-05-01,38.39,25.95
1983-07-01,43.3,29.34
1983-08-01,42.22,28.53
1983-09-01,40.11,24.78
1983-10-01,33.18,17.85
1983-11-01,29.42,15.29
1984-04-01,35.02,21.65
1984-06-01,40.83,26.14
1984-07-01,43.12,28.65
1984-08-01,40.97,26.1
1984-09-01,39.88,25.24
1984-10-01,33.61,19.33
1984-12-01,20.9,10.38
1985-01-01,23.39,11.57
1985-02-01,22.55,9.42
1985-03-01,27.69,14.56
1985-04-01,32.69,19.19
1985-05-01,38.53,25.12
1985-06-01,41.8,26.75
1985-07-01,42.46,28.04
1985-08-01,43.47,29.09
1985-09-01,40.26,25.16
1985-10-01,35.65,19.96
1985-11-01,29.52,16.74
1985-12-01,21.27,9.42
1986-01-01,21.08,7.57
1986-02-01,23.2,10.0
1986-03-01,27.52,14.61
1986-04-01,30.97,17.6
1986-05-01,38.74,25.41
1986-06-01,41.61,26.19
1986-07-01,44.11,28.5
1986-08-01,43.98,29.3
1986-09-01,40.44,27.86
1986-10-01,35.98,21.55
1986-11-01,26.89,15.28
1986-12-01,19.55,8.98
1987-01-01,22.14,8.36
1987-02-01,26.09,12.61
1987-03-01,26.04,14.9
1987-04-01,34.05,19.87
1987-05-01,40.45,27.74
1987-06-01,41.97,27.35
1987-07-01,45.28,29.71
1987-08-01,43.65,28.77
1987-09-01,41.31,27.16
1987-10-01,35.46,23.63
1987-11-01,28.9,15.2
1987-12-01,22.75,12.06
1988-01-01,19.52,8.92
1988-02-01,22.45,11.96
1988-03-01,28.46,16.49
1988-04-01,31.98,20.38
1988-05-01,40.13,25.77
1988-06-01,42.52,28.48
1988-07-01,43.66,30.22
1988-08-01,43.49,29.93
1988-09-01,41.1,26.36
1988-10-01,35.97,21.63
1988-11-01,27.82,14.6
1988-12-01,23.7,10.65
1989-01-01,18.52,5.63
1989-02-01,20.24,8.26
1989-03-01,27.25,14.87
1989-04-01,30.77,18.25
1989-05-01,39.64,24.08
1989-06-01,41.4,25.12
1989-07-01,44.17,27.27
1989-08-01,43.25,26.5
1989-09-01,39.29,22.81
1989-10-01,34.33,18.35
1989-11-01,29.04,17.28
1989-12-01,20.72,9.75
1990-01-01,18.11,8.55
1990-02-01,21.67,10.85
1990-03-01,27.62,14.91
1990-04-01,33.43,19.95
1990-05-01,40.28,24.75
1990-06-01,42.64,25.63
1990-07-01,43.83,27.5
1990-08-01,42.79,26.38
1990-09-01,40.39,23.74
1990-10-01,35.63,19.44
1990-11-01,28.97,12.78
1990-12-01,24.83,9.55
1991-01-01,20.11,10.1
1991-02-01,23.14,10.65
1991-03-01,26.22,14.61
1991-04-01,34.37,22.05
1991-05-01,37.97,24.33
1991-06-01,42.25,26.87
1991-07-01,41.79,27.04
1991-08-01,42.41,27.28
1991-09-01,39.36,24.09
1991-10-01,34.66,21.09
1991-11-01,28.65,14.4
1991-12-01,22.9,12.1
1992-01-01,16.2,6.12
1992-02-01,20.38,9.02
1992-03-01,23.38,12.46
1992-04-01,32.08,18.75
1992-05-01,38.16,24.72
1992-06-01,42.1,27.01
1992-07-01,41.83,27.74
1992-08-01,42.0,28.55
1992-09-01,39.73,25.17
1992-10-01,33.83,18.78
1992-11-01,26.49,14.68
1992-12-01,19.69,10.13
1993-01-01,17.19,7.93
1993-02-01,20.89,10.02
1993-03-01,28.0,15.33
1993-04-01,31.34,18.37
1993-05-01,37.23,24.65
1993-06-01,41.58,26.96
1993-07-01,43.0,28.81
1993-08-01,43.01,28.06
1993-09-01,39.94,25.17
1993-10-01,35.15,22.27
1993-11-01,28.76,15.71
1993-12-01,24.11,10.89
1994-01-01,23.49,10.47
1994-02-01,23.5,10.48
1994-03-01,26.7,14.19
1994-04-01,33.59,20.91
1994-05-01,38.32,25.66
1994-06-01,41.83,27.46
1994-07-01,41.73,28.45
1994-08-01,42.7,27.75
1994-09-01,39.67,25.9
1994-10-01,34.79,22.55
1994-11-01,29.39,17.72
1994-12-01,20.26,9.38
1995-01-01,21.78,8.32
1995-02-01,23.21,12.36
1995-03-01,25.31,14.48
1995-04-01,31.33,19.53
1995-05-01,38.07,25.49
1995-06-01,42.17,27.88
1995-07-01,42.01,28.9
1995-08-01,43.3,28.46
1995-09-01,39.42,24.82
1995-10-01,35.23,21.31
1995-11-01,26.95,14.17
1995-12-01,17.82,10.86
1996-01-01,19.31,10.48
1996-02-01,23.85,12.3
1996-03-01,26.47,15.38
1996-04-01,31.56,19.93
1996-05-01,39.45,25.96
1996-06-01,41.95,27.78
1996-07-01,44.36,30.56
1996-08-01,43.85,29.88
1996-09-01,39.73,26.53
1996-10-01,34.68,20.54
1996-11-01,25.95,14.82
1996-12-01,23.75,11.15
1997-01-01,21.36,9.53
1997-02-01,21.48,10.25
1997-03-01,25.18,13.34
1997-04-01,32.12,18.53
1997-05-01,37.76,25.84
1997-06-01,43.03,28.89
1997-07-01,43.05,29.08
1997-08-01,41.76,27.8
1997-09-01,41.08,26.12
1997-10-01,33.68,22.5
1997-11-01,23.57,15.48
1997-12-01,21.45,11.36
1998-01-01,18.36,8.56
1998-02-01,24.32,11.69
1998-03-01,26.52,14.74
1998-04-01,34.07,20.06
1998-05-01,39.37,26.22
1998-06-01,43.79,29.6
1998-07-01,44.15,30.45
1998-08-01,44.94,31.82
1998-09-01,41.96,27.98
1998-10-01,34.84,20.43
1998-11-01,30.18,15.1
1998-12-01,27.0,11.32
1999-01-01,21.28,9.93
1999-03-01,28.24,13.87
1999-04-01,35.42,20.99
1999-05-01,40.94,26.09
1999-06-01,44.41,28.42
1999-07-01,43.66,28.94
1999-08-01,44.11,30.08
1999-09-01,41.38,27.24
1999-10-01,36.16,21.28
1999-11-01,29.77,16.21
1999-12-01,23.14,9.42
2000-01-01,20.82,9.1
2000-02-01,23.23,10.96
2000-03-01,27.77,13.57
2000-04-01,36.14,22.65
2000-05-01,40.59,26.57
2000-06-01,42.71,27.34
2000-07-01,45.24,30.71
2000-08-01,44.73,30.15
2000-09-01,39.91,25.24
2000-10-01,35.1,22.1
2000-11-01,25.16,15.75
2000-12-01,22.62,11.45
2001-01-01,20.22,7.13
2001-02-01,22.54,9.46
2001-03-01,29.17,16.62
2001-04-01,34.92,20.85
2001-05-01,40.28,25.97
2001-06-01,41.9,27.59
2001-07-01,43.81,29.37
2001-08-01,44.45,30.58
2001-09-01,41.26,26.79
2001-10-01,35.97,20.9
2001-11-01,27.88,14.11
2001-12-01,25.85,14.68
2002-01-01,19.25,9.23
2002-02-01,23.89,10.74
2002-03-01,29.11,15.14
2002-04-01,34.14,19.75
2002-05-01,40.92,26.33
2002-06-01,42.58,28.17
2002-07-01,44.62,29.54
2002-08-01,42.93,28.76
2002-09-01,40.76,26.54
2002-10-01,36.28,21.81
2002-11-01,26.65,14.96
2002-12-01,22.01,11.68
2003-01-01,20.95,8.43
2003-03-01,28.96,15.14
2003-04-01,34.75,21.5
2003-05-01,39.86,26.04
2003-06-01,44.04,28.97
2003-07-01,43.8,29.15
2003-08-01,44.49,30.1
2003-09-01,39.78,25.21
2003-10-01,35.4,21.13
2003-11-01,27.3,15.88
2003-12-01,21.66,11.94
2004-01-01,21.9,11.42
2004-03-01,29.93,15.46
2004-05-01,39.53,24.48
2004-06-01,42.31,27.8
2004-07-01,43.97,29.2
2004-08-01,43.65,28.92
2004-09-01,40.1,25.51
2004-10-01,35.51,20.66
2004-11-01,28.96,15.87
2004-12-01,19.78,8.76
2005-01-01,19.88,8.07
2005-02-01,23.0,11.29
2005-03-01,27.76,15.43
2005-04-01,34.4,21.13
2005-05-01,39.35,25.54
2005-07-01,43.8,30.14
2005-10-01,34.94,19.76
2005-11-01,28.73,16.06
2005-12-01,25.12,10.78
2006-02-01,24.14,10.93
2006-03-01,29.09,15.71
2006-05-01,40.1,27.54
2006-06-01,43.42,28.79
2006-07-01,43.28,29.53
2006-08-01,44.19,30.46
2006-09-01,40.12,25.35
2006-10-01,35.91,22.28
2006-11-01,26.13,15.72
2007-01-01,18.17,6.62
2007-02-01,23.95,12.28
2007-04-01,34.5,21.66
2007-05-01,39.65,27.36
2007-06-01,42.6,29.08
2007-07-01,43.66,29.4
2007-08-01,44.4,29.79
2007-09-01,40.59,26.55
2007-10-01,35.27,20.62
2007-11-01,29.13,14.39
2007-12-01,23.54,10.79
2008-01-01,19.2,7.39
2008-02-01,22.72,9.22
2008-03-01,32.05,16.6
2008-04-01,34.8,21.04
2008-05-01,40.75,26.41
2008-06-01,42.4,28.11
2008-07-01,44.17,30.18
2008-10-01,34.38,21.52
2008-11-01,25.71,15.4
2008-12-01,21.7,8.06
2009-01-01,20.6,7.73
2009-03-01,28.16,15.12
2009-04-01,33.29,19.35
2009-05-01,40.7,27.15
2009-06-01,42.94,30.31
2009-07-01,43.08,29.41
2009-08-01,43.93,30.2
2009-09-01,41.44,27.52
2009-10-01,35.31,20.87
2009-11-01,28.34,17.01
2009-12-01,22.64,12.24
2010-01-01,23.52,10.22
2010-02-01,27.61,13.66
2010-03-01,31.85,17.26
2010-04-01,34.15,22.48
2010-05-01,39.31,26.79
2010-06-01,43.73,30.88
2010-07-01,44.41,31.97
2010-08-01,44.6,31.85
2010-09-01,41.28,28.13
2010-10-01,36.31,23.44
2010-11-01,27.55,14.58
2010-12-01,23.38,9.56
2011-01-01,20.35,10.9
2011-02-01,24.71,12.55
2011-03-01,27.3,14.73
2011-04-01,33.47,20.67
2011-05-01,40.83,26.54
2011-06-01,43.54,29.37
